text_a,text_b,score,label_type
สายชำระและก๊อกน้ำห้องน้ำชั้น 4 กองพัฒนานิสิต DSA แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 4 ตึกกิจกรรมนิสิต DSA,0.9397,DUPLICATE
สัญญาณอินเทอร์เน็ต UP-WiFi ป้ายรถเมล์หน้า ม. หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9846,DUPLICATE
หลอดไฟทางเดินหน้า คณะพยาบาลศาสตร์ ดับสนิท มืดมาก,ถังขยะหน้า คณะพยาบาลศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.066,DIFFERENT
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด คณะวิทยาศาสตร์,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ตึกวิทย์,0.964,DUPLICATE
หลอดไฟทางเดินหน้า ตึก ICT ดับสนิท มืดมาก,ถังขยะหน้า ตึก ICT ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0748,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 4 คณะแพทยศาสตร์ แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 4 ตึกแพทย์,0.9293,DUPLICATE
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร โรงอาหารสงวนเสริมศรี ค้างที่ชั้น 3 ใช้งานไม่ได้,0.0,DIFFERENT
ก๊อกน้ำและท่อประปาที่ ทางเดิน Skywalk ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0785,DIFFERENT
เครื่องปรับอากาศห้อง 1401 หอพักลุมพินี เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3301 หอพักลุมพินี เสีย ไม่เย็น,0.1591,DIFFERENT
ไฟในห้องน้ำหญิง ประตู 1 ม.พะเยา ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ประตูหน้ามอ ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9865,DUPLICATE
รถเมล์มอสาย 4 (สีน้ำเงิน) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย คณะนิติศาสตร์,รอรถบัส มพ. สาย 4 (สีน้ำเงิน) ที่ ตึกนิติศาสตร์ นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9724,DUPLICATE
ถังขยะหน้า คณะเกษตรศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกเกษตร เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9359,DUPLICATE
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด กองพัฒนานิสิต DSA,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ตึกกิจกรรมนิสิต DSA,0.9684,DUPLICATE
รถเมล์มอสาย 1 (สีม่วง) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย ตึก PKY,รอรถบัส มพ. สาย 1 (สีม่วง) ที่ อาคารสงวนเสริมศรี นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9228,DUPLICATE
แอร์ห้อง 2301 ตึก PKY มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 5 ตึก PKY แตก น้ำนองพื้น,0.052,DIFFERENT
คนขับรถชัตเติลบัสสาย 4 (สีน้ำเงิน) ขับเร็วและเบรกกระชากแรงมากตรง คณะแพทยศาสตร์,รถเมล์ มพ. สาย 4 (สีน้ำเงิน) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ตึกแพทย์,0.9184,DUPLICATE
แอร์ห้อง 4402 คณะนิติศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 1 คณะนิติศาสตร์ แตก น้ำนองพื้น,0.0349,DIFFERENT
แอร์ห้อง 2302 คณะเกษตรศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 2 คณะเกษตรศาสตร์ แตก น้ำนองพื้น,0.0516,DIFFERENT
เครื่องปรับอากาศห้อง 1304 คณะศิลปศาสตร์ เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3101 คณะศิลปศาสตร์ เสีย ไม่เย็น,0.1447,DIFFERENT
ลิฟต์โดยสาร ตึก PKY ค้างที่ชั้น 8 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ อาคารสงวนเสริมศรี เสีย ติดค้างอยู่ที่ชั้น 8 กดปุ่มเปิดไม่ไป,0.9362,DUPLICATE
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร คณะเภสัชศาสตร์ ค้างที่ชั้น 2 ใช้งานไม่ได้,0.0129,DIFFERENT
ลิฟต์โดยสาร คณะศิลปศาสตร์ ค้างที่ชั้น 2 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ตึกศิลปศาสตร์ เสีย ติดค้างอยู่ที่ชั้น 2 กดปุ่มเปิดไม่ไป,0.9534,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะวิทยาศาสตร์,0.0217,DIFFERENT
ถังขยะหน้า คณะเภสัชศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกเภสัช เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9403,DUPLICATE
คนขับรถชัตเติลบัสสาย 2 (สีเขียว) ขับเร็วและเบรกกระชากแรงมากตรง ตึก CE,รถเมล์ มพ. สาย 2 (สีเขียว) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว อาคารเรียนรวม CE,0.9375,DUPLICATE
สัญญาณเน็ต UP-WiFi คณะแพทยศาสตร์ หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง คณะแพทยศาสตร์,0.011,DIFFERENT
รถเมล์มอสาย 1 (สีม่วง) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย กองพัฒนานิสิต DSA,รอรถบัส มพ. สาย 1 (สีม่วง) ที่ ตึกกิจกรรมนิสิต DSA นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9535,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ตึก PKY,0.0217,DIFFERENT
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ ป้ายรถเมล์หน้า ม.,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา สกปรกมาก ไม่ถูกสุขอนามัย,0.941,DUPLICATE
ก๊อกน้ำและท่อประปาที่ ป้ายหอพักใน ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0785,DIFFERENT
สัญญาณเน็ต UP-WiFi ตึก EN หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ตึก EN,0.0115,DIFFERENT
หลอดไฟทางเดินหน้า โรงอาหารสงวนเสริมศรี ดับสนิท มืดมาก,ถังขยะหน้า โรงอาหารสงวนเสริมศรี ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.1058,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 5 คณะแพทยศาสตร์ แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 5 ตึกแพทย์,0.9394,DUPLICATE
ถังขยะหน้า ตึก EN ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ อาคารคณะวิศวกรรมศาสตร์ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.937,DUPLICATE
หลอดไฟทางเดินหน้า ประตู 1 ม.พะเยา ดับสนิท มืดมาก,ถังขยะหน้า ประตู 1 ม.พะเยา ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0659,DIFFERENT
สัญญาณเน็ต UP-WiFi ทางเดิน Skywalk หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ทางเดิน Skywalk,0.0334,DIFFERENT
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด ประตู 1 ม.พะเยา,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ประตูหน้ามอ,0.9735,DUPLICATE
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด คณะแพทยศาสตร์,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ตึกแพทย์,0.958,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง โรงอาหารกลาง รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ โรงอาหารใหญ่ รถผ่านไม่ได้ การจราจรติดขัด,0.9772,DUPLICATE
เครื่องปรับอากาศห้อง 1304 โรงอาหารกลาง เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3202 โรงอาหารกลาง เสีย ไม่เย็น,0.1318,DIFFERENT
สัญญาณเน็ต UP-WiFi โรงอาหารสงวนเสริมศรี หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง โรงอาหารสงวนเสริมศรี,0.0249,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร คณะวิทยาศาสตร์ ค้างที่ชั้น 8 ใช้งานไม่ได้,0.0244,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร คณะศิลปศาสตร์ ค้างที่ชั้น 1 ใช้งานไม่ได้,0.0,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร ป้ายรถเมล์หน้า ม. ค้างที่ชั้น 4 ใช้งานไม่ได้,0.0208,DIFFERENT
ลิฟต์โดยสาร หอพักลุมพินี ค้างที่ชั้น 7 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ หอพักใน มพ. เสีย ติดค้างอยู่ที่ชั้น 7 กดปุ่มเปิดไม่ไป,0.9642,DUPLICATE
สัญญาณอินเทอร์เน็ต UP-WiFi คณะศิลปศาสตร์ หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ ตึกศิลปศาสตร์ ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9384,DUPLICATE
สัญญาณอินเทอร์เน็ต UP-WiFi คณะศิลปศาสตร์ หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ ตึกศิลปศาสตร์ ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.958,DUPLICATE
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9298,DUPLICATE
สัญญาณเน็ต UP-WiFi หอพักลุมพินี หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง หอพักลุมพินี,0.0395,DIFFERENT
โปรเจกเตอร์ห้อง 4301 คณะนิติศาสตร์ เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 4301 ตึกนิติศาสตร์ พัง จอภาพมืดสนิท,0.9346,DUPLICATE
หลอดไฟทางเดินหน้า ตึก EN ดับสนิท มืดมาก,ถังขยะหน้า ตึก EN ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0634,DIFFERENT
ไฟในห้องน้ำหญิง ป้ายหอพักใน ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ป้ายรอรถหอใน มพ. ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9419,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง คณะเภสัชศาสตร์,หมาจรจัดตรง ตึกเภสัช ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9282,DUPLICATE
รถเมล์มอสาย 1 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ตึก ICT มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0294,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร หอพักลุมพินี ค้างที่ชั้น 2 ใช้งานไม่ได้,0.0065,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 6 โรงอาหารสงวนเสริมศรี แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 6 โรงอาหาร PKY,0.9785,DUPLICATE
สัญญาณเน็ต UP-WiFi ประตู 1 ม.พะเยา หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ประตู 1 ม.พะเยา,0.0579,DIFFERENT
คนขับรถชัตเติลบัสสาย 4 (สีน้ำเงิน) ขับเร็วและเบรกกระชากแรงมากตรง ตึก CE,รถเมล์ มพ. สาย 4 (สีน้ำเงิน) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว อาคารเรียนรวม CE,0.934,DUPLICATE
ก๊อกน้ำและท่อประปาที่ คณะนิติศาสตร์ ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0769,DIFFERENT
สัญญาณเน็ต UP-WiFi คณะเกษตรศาสตร์ หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง คณะเกษตรศาสตร์,0.0598,DIFFERENT
สัญญาณเน็ต UP-WiFi หอพักลุมพินี หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง หอพักลุมพินี,0.0389,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 4 โรงอาหารสงวนเสริมศรี แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 4 โรงอาหาร PKY,0.9598,DUPLICATE
หลอดไฟทางเดินหน้า ประตู 1 ม.พะเยา ดับสนิท มืดมาก,ถังขยะหน้า ประตู 1 ม.พะเยา ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.1017,DIFFERENT
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง คณะพยาบาลศาสตร์,หมาจรจัดตรง ตึกพยาบาล ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.926,DUPLICATE
หลอดไฟทางเดินหน้า ป้ายรถเมล์หน้า ม. ดับสนิท มืดมาก,ถังขยะหน้า ป้ายรถเมล์หน้า ม. ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0942,DIFFERENT
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9698,DUPLICATE
ก๊อกน้ำและท่อประปาที่ กองพัฒนานิสิต DSA ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0431,DIFFERENT
คนขับรถชัตเติลบัสสาย 2 (สีเขียว) ขับเร็วและเบรกกระชากแรงมากตรง ทางเดิน Skywalk,รถเมล์ มพ. สาย 2 (สีเขียว) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว สะพานสกายวอล์ค,0.9487,DUPLICATE
โปรเจกเตอร์ห้อง 1201 คณะพยาบาลศาสตร์ เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 1201 ตึกพยาบาล พัง จอภาพมืดสนิท,0.9412,DUPLICATE
รถเมล์มอสาย 1 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ตึก PKY มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0353,DIFFERENT
สัญญาณเน็ต UP-WiFi ตึก ICT หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ตึก ICT,0.0431,DIFFERENT
รถเมล์มอสาย 2 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร คณะวิทยาศาสตร์ มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0441,DIFFERENT
รถเมล์มอสาย 4 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร คณะศิลปศาสตร์ มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0325,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะนิติศาสตร์,0.0306,DIFFERENT
