Raw_Text,ID,Predicted_Category,Extracted_Incident_Time,Ticket_Group_ID
แจ้งเรื่องประตูพัง ตรงห้องบรรยาย ช่วยมาดูหน่อย,TICKET_0011,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_010
แจ้งเรื่องไฟดับครับ ตรงห้องน้ำตึกสงวน ช่วยมาดูหน่อย,TICKET_0012,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_011
รปภ. ช่วยดูตรงหลังมอ หน่อยครับ รถติดหนักมาก,TICKET_0013,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_012
อาจารย์ครับ ขอสอบชดเชยต้องทำไง รบกวนให้คำแนะนำที,TICKET_0014,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_013
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ หมวกกันน็อคหาย,TICKET_0015,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_005
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,TICKET_0016,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_001
สอบถามหน่อยครับ อยากทราบกำหนดการกิจกรรมรับน้อง,TICKET_0017,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_014
อาจารย์ครับ ลงทะเบียนวิชานี้ไม่ได้ รบกวนให้คำแนะนำที,TICKET_0018,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_008
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,TICKET_0019,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_001
แจ้งทำความสะอาดตรงโรงอาหาร กิ่งไม้หักขวางทาง ครับ,TICKET_0020,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_002
รปภ. ช่วยดูตรงทางแยก หน่อยครับ ทางมืดมากอันตราย,TICKET_0021,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_004
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ หมวกกันน็อคหาย,TICKET_0022,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_005
สอบถามหน่อยครับ สอบถามเรื่องทุนการศึกษา,TICKET_0023,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_007
รปภ. ช่วยดูตรงหลังมอ หน่อยครับ คนจอดรถขวางทาง,TICKET_0024,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_012
แจ้งเรื่องไฟดับครับ ตรงห้องบรรยาย ช่วยมาดูหน่อย,TICKET_0025,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_011
สอบถามหน่อยครับ รถเมล์สาย 1 หมดกี่โมง,TICKET_0026,หมวดการเดินทางและระบบขนส่ง,เวลาปัจจุบันตามระบบ,TICKET_GROUP_015
อาจารย์ครับ เกรดยังไม่ออกครับ รบกวนให้คำแนะนำที,TICKET_0027,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_006
สอบถามหน่อยครับ ทำบัตรนิสิตใหม่ที่ไหน,TICKET_0028,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_016
สอบถามหน่อยครับ อยากทราบกำหนดการกิจกรรมรับน้อง,TICKET_0029,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_014
รปภ. ช่วยดูตรงประตู 2 หน่อยครับ มีรถชนกัน,TICKET_0030,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_017
แจ้งทำความสะอาดตรงโรงอาหาร มีหมาจรจัดมาคุ้ยขยะ ครับ,TICKET_0031,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_018
แจ้งเรื่องหลังคารั่วหนักมาก ตรงอาคารเรียนรวม ช่วยมาดูหน่อย,TICKET_0032,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_019
แจ้งเรื่องประตูพัง ตรงอาคารเรียนรวม ช่วยมาดูหน่อย,TICKET_0033,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_019
แจ้งเรื่องแอร์ไม่เย็นเลย ตรงห้องบรรยาย ช่วยมาดูหน่อย,TICKET_0034,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_010
เน็ตหลุดบ่อยมาก ตอนนี้อยู่หอพักใน ทำงานไม่ได้เลย,TICKET_0035,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_020
แจ้งเรื่องไฟดับครับ ตรงห้องน้ำตึกสงวน ช่วยมาดูหน่อย,TICKET_0036,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_011
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,TICKET_0037,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_001
อาจารย์ครับ เกรดยังไม่ออกครับ รบกวนให้คำแนะนำที,TICKET_0038,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_006
ไวไฟเข้าไม่ได้ ตอนนี้อยู่ตึกคณะ ทำงานไม่ได้เลย,TICKET_0039,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_003
สอบถามหน่อยครับ อยากทราบกำหนดการกิจกรรมรับน้อง,TICKET_0040,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_014
รปภ. ช่วยดูตรงลานจอดรถ หน่อยครับ ทางมืดมากอันตราย,TICKET_0041,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_021
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ คนจอดรถขวางทาง,TICKET_0042,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_005
แจ้งเรื่องหลังคารั่วหนักมาก ตรงห้องบรรยาย ช่วยมาดูหน่อย,TICKET_0043,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_019
สอบถามหน่อยครับ รถเมล์สาย 1 หมดกี่โมง,TICKET_0044,หมวดการเดินทางและระบบขนส่ง,เวลาปัจจุบันตามระบบ,TICKET_GROUP_015
รปภ. ช่วยดูตรงประตู 2 หน่อยครับ คนจอดรถขวางทาง,TICKET_0045,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_017
สอบถามหน่อยครับ สอบถามเรื่องทุนการศึกษา,TICKET_0046,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_007
แจ้งทำความสะอาดตรงสวนหน้าตึก ขยะล้นถังส่งกลิ่นเหม็น ครับ,TICKET_0047,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_022
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ รถติดหนักมาก,TICKET_0048,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_012
อาจารย์ครับ ลงทะเบียนวิชานี้ไม่ได้ รบกวนให้คำแนะนำที,TICKET_0049,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_008
สอบถามหน่อยครับ อยากทราบกำหนดการกิจกรรมรับน้อง,TICKET_0050,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_014
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ คนจอดรถขวางทาง,TICKET_0051,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_005
แจ้งทำความสะอาดตรงสนามบาส สกปรกมากไม่ทำความสะอาด ครับ,TICKET_0052,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_023
แจ้งเรื่องประตูพัง ตรงตึก ICT ช่วยมาดูหน่อย,TICKET_0053,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_010
แจ้งเรื่องประตูพัง ตรงห้องบรรยาย ช่วยมาดูหน่อย,TICKET_0054,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_010
สอบถามหน่อยครับ อยากทราบกำหนดการกิจกรรมรับน้อง,TICKET_0055,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_014
อาจารย์ครับ ขอสอบชดเชยต้องทำไง รบกวนให้คำแนะนำที,TICKET_0056,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_013
รปภ. ช่วยดูตรงหลังมอ หน่อยครับ คนจอดรถขวางทาง,TICKET_0057,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_012
เน็ตหลุดบ่อยมาก ตอนนี้อยู่หอพักใน ทำงานไม่ได้เลย,TICKET_0058,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_020
แจ้งเรื่องลิฟต์ค้าง ตรงอาคารเรียนรวม ช่วยมาดูหน่อย,TICKET_0059,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_019
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,TICKET_0060,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_001
สอบถามหน่อยครับ ทำบัตรนิสิตใหม่ที่ไหน,TICKET_0061,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_016
รปภ. ช่วยดูตรงประตู 2 หน่อยครับ ทางมืดมากอันตราย,TICKET_0062,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_021
รปภ. ช่วยดูตรงทางแยก หน่อยครับ มีรถชนกัน,TICKET_0063,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_017
ไวไฟเข้าไม่ได้ ตอนนี้อยู่หอพักใน ทำงานไม่ได้เลย,TICKET_0064,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_020
รปภ. ช่วยดูตรงประตู 2 หน่อยครับ หมวกกันน็อคหาย,TICKET_0065,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_017
แจ้งทำความสะอาดตรงริมสระน้ำ หญ้ารกมาก ครับ,TICKET_0066,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_024
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,TICKET_0067,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_001
แจ้งเรื่องประตูพัง ตรงห้องบรรยาย ช่วยมาดูหน่อย,TICKET_0068,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_010
แจ้งทำความสะอาดตรงสวนหน้าตึก มีหมาจรจัดมาคุ้ยขยะ ครับ,TICKET_0069,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_018
สอบถามหน่อยครับ รถเมล์สาย 1 หมดกี่โมง,TICKET_0070,หมวดการเดินทางและระบบขนส่ง,เวลาปัจจุบันตามระบบ,TICKET_GROUP_015
แจ้งทำความสะอาดตรงทางเดิน กิ่งไม้หักขวางทาง ครับ,TICKET_0071,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_002
รปภ. ช่วยดูตรงลานจอดรถ หน่อยครับ หมวกกันน็อคหาย,TICKET_0072,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_021
ไวไฟเข้าไม่ได้ ตอนนี้อยู่หน้ามอ ทำงานไม่ได้เลย,TICKET_0073,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
ลงทะเบียนไม่ได้ ตอนนี้อยู่ตึกคณะ ทำงานไม่ได้เลย,TICKET_0074,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
แจ้งเรื่องประตูพัง ตรงตึกวิทย์ ช่วยมาดูหน่อย,TICKET_0075,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_010
สอบถามหน่อยครับ สอบถามเรื่องทุนการศึกษา,TICKET_0076,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_007
แจ้งเรื่องลิฟต์ค้าง ตรงตึกวิทย์ ช่วยมาดูหน่อย,TICKET_0077,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_009
แจ้งเรื่องแอร์ไม่เย็นเลย ตรงห้องบรรยาย ช่วยมาดูหน่อย,TICKET_0078,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_010
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,TICKET_0079,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_001
แจ้งทำความสะอาดตรงโรงอาหาร มีหมาจรจัดมาคุ้ยขยะ ครับ,TICKET_0080,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_018
ไวไฟเข้าไม่ได้ ตอนนี้อยู่ตึกคณะ ทำงานไม่ได้เลย,TICKET_0081,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
รปภ. ช่วยดูตรงหลังมอ หน่อยครับ คนจอดรถขวางทาง,TICKET_0082,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_012
รปภ. ช่วยดูตรงหลังมอ หน่อยครับ หมวกกันน็อคหาย,TICKET_0083,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_012
แจ้งทำความสะอาดตรงทางเดิน หญ้ารกมาก ครับ,TICKET_0084,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_024
ไวไฟเข้าไม่ได้ ตอนนี้อยู่หอพักใน ทำงานไม่ได้เลย,TICKET_0085,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,TICKET_0086,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_001
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,TICKET_0087,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_001
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ รถติดหนักมาก,TICKET_0088,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_012
รปภ. ช่วยดูตรงลานจอดรถ หน่อยครับ มีรถชนกัน,TICKET_0089,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_021
สอบถามหน่อยครับ อยากทราบกำหนดการกิจกรรมรับน้อง,TICKET_0090,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_014
แจ้งเรื่องหลังคารั่วหนักมาก ตรงห้อง 1204 ช่วยมาดูหน่อย,TICKET_0091,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_019
ลืมรหัสผ่านเข้าระบบ ตอนนี้อยู่ห้องสมุด ทำงานไม่ได้เลย,TICKET_0092,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_003
แจ้งเรื่องไฟดับครับ ตรงตึก ICT ช่วยมาดูหน่อย,TICKET_0093,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_011
แจ้งทำความสะอาดตรงสนามบาส กิ่งไม้หักขวางทาง ครับ,TICKET_0094,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_023
อาจารย์ครับ ลงทะเบียนวิชานี้ไม่ได้ รบกวนให้คำแนะนำที,TICKET_0095,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_008
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,TICKET_0096,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_001
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ มีรถชนกัน,TICKET_0097,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_017
สอบถามหน่อยครับ ทำบัตรนิสิตใหม่ที่ไหน,TICKET_0098,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_016
ลงทะเบียนไม่ได้ ตอนนี้อยู่ห้องสมุด ทำงานไม่ได้เลย,TICKET_0099,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
สอบถามหน่อยครับ สอบถามเรื่องทุนการศึกษา,TICKET_0100,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_007
สอบถามหน่อยครับ รถเมล์สาย 1 หมดกี่โมง,TICKET_0101,หมวดการเดินทางและระบบขนส่ง,เวลาปัจจุบันตามระบบ,TICKET_GROUP_015
อาจารย์ครับ อยากติดต่ออาจารย์เรื่องดรอปเรียน รบกวนให้คำแนะนำที,TICKET_0102,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_026
แจ้งเรื่องไฟดับครับ ตรงห้องบรรยาย ช่วยมาดูหน่อย,TICKET_0103,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_011
แจ้งเรื่องไฟดับครับ ตรงตึกวิทย์ ช่วยมาดูหน่อย,TICKET_0104,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_011
รปภ. ช่วยดูตรงทางแยก หน่อยครับ หมวกกันน็อคหาย,TICKET_0105,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_004
แจ้งทำความสะอาดตรงโรงอาหาร กิ่งไม้หักขวางทาง ครับ,TICKET_0106,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_002
แจ้งเรื่องลิฟต์ค้าง ตรงอาคารเรียนรวม ช่วยมาดูหน่อย,TICKET_0107,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_019
แจ้งเรื่องน้ำไม่ไหล ตรงห้อง 1204 ช่วยมาดูหน่อย,TICKET_0108,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_011
ไวไฟเข้าไม่ได้ ตอนนี้อยู่ตึกคณะ ทำงานไม่ได้เลย,TICKET_0109,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
สอบถามหน่อยครับ ทำบัตรนิสิตใหม่ที่ไหน,TICKET_0110,หมวดบริการทั่วไป / อื่นๆ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_016
แจ้งเรื่องหลังคารั่วหนักมาก ตรงอาคารเรียนรวม ช่วยมาดูหน่อย,TICKET_0111,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_019
แจ้งเรื่องน้ำไม่ไหล ตรงห้องน้ำตึกสงวน ช่วยมาดูหน่อย,TICKET_0112,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_011
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ หมวกกันน็อคหาย,TICKET_0113,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_005
ลงทะเบียนไม่ได้ ตอนนี้อยู่หน้ามอ ทำงานไม่ได้เลย,TICKET_0114,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
ระบบล่ม ตอนนี้อยู่หน้ามอ ทำงานไม่ได้เลย,TICKET_0115,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
แจ้งทำความสะอาดตรงริมสระน้ำ มีหมาจรจัดมาคุ้ยขยะ ครับ,TICKET_0116,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_024
ลืมรหัสผ่านเข้าระบบ ตอนนี้อยู่หอพักใน ทำงานไม่ได้เลย,TICKET_0117,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_020
รปภ. ช่วยดูตรงหลังมอ หน่อยครับ หมวกกันน็อคหาย,TICKET_0118,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_012
เน็ตหลุดบ่อยมาก ตอนนี้อยู่หอพักใน ทำงานไม่ได้เลย,TICKET_0119,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_020
แจ้งเรื่องน้ำไม่ไหล ตรงตึก ICT ช่วยมาดูหน่อย,TICKET_0120,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_027
ลืมรหัสผ่านเข้าระบบ ตอนนี้อยู่หน้ามอ ทำงานไม่ได้เลย,TICKET_0121,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
แจ้งทำความสะอาดตรงทางเดิน สกปรกมากไม่ทำความสะอาด ครับ,TICKET_0122,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_023
รปภ. ช่วยดูตรงประตู 2 หน่อยครับ มีรถชนกัน,TICKET_0123,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_017
แจ้งเรื่องหลังคารั่วหนักมาก ตรงห้องบรรยาย ช่วยมาดูหน่อย,TICKET_0124,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_019
แจ้งทำความสะอาดตรงสวนหน้าตึก มีหมาจรจัดมาคุ้ยขยะ ครับ,TICKET_0125,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_018
แจ้งเรื่องลิฟต์ค้าง ตรงห้องบรรยาย ช่วยมาดูหน่อย,TICKET_0126,หมวดอาคารและสิ่งอำนวยความสะดวก,เวลาปัจจุบันตามระบบ,TICKET_GROUP_010
ลงทะเบียนไม่ได้ ตอนนี้อยู่หน้ามอ ทำงานไม่ได้เลย,TICKET_0127,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
สอบถามหน่อยครับ รถเมล์สาย 1 หมดกี่โมง,TICKET_0128,หมวดการเดินทางและระบบขนส่ง,เวลาปัจจุบันตามระบบ,TICKET_GROUP_015
แจ้งทำความสะอาดตรงริมสระน้ำ ขยะล้นถังส่งกลิ่นเหม็น ครับ,TICKET_0129,หมวดภูมิทัศน์และความสะอาด,เวลาปัจจุบันตามระบบ,TICKET_GROUP_024
อาจารย์ครับ เกรดยังไม่ออกครับ รบกวนให้คำแนะนำที,TICKET_0130,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_006
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ มีรถชนกัน,TICKET_0131,หมวดความปลอดภัยและจราจร,เวลาปัจจุบันตามระบบ,TICKET_GROUP_017
ระบบล่ม ตอนนี้อยู่ห้องสมุด ทำงานไม่ได้เลย,TICKET_0132,หมวดเทคโนโลยีสารสนเทศ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_025
อาจารย์ครับ เกรดยังไม่ออกครับ รบกวนให้คำแนะนำที,TICKET_0133,หมวดการเรียนการสอนและวิชาการ,เวลาปัจจุบันตามระบบ,TICKET_GROUP_006
