Raw_Text,1_Matched_Keywords,2_Category_Scores,3_Max_Score,4_Predicted_Category
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,"['ตารางเรียน', 'อาจารย์', 'ระบบ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 17, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 4, 'บริการและสวัสดิการนิสิต': 0}",17,การเรียนการสอนและหลักสูตร
สอบถามหน่อยครับ อยากทราบกำหนดการกิจกรรมรับน้อง,"['กิจกรรม', 'สอบถามหน่อยครับ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 22}",22,บริการและสวัสดิการนิสิต
อาจารย์ครับ ลงทะเบียนวิชานี้ไม่ได้ รบกวนให้คำแนะนำที,"['วิชา', 'อาจารย์']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 11, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",11,การเรียนการสอนและหลักสูตร
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,"['ตารางเรียน', 'อาจารย์', 'ระบบ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 17, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 4, 'บริการและสวัสดิการนิสิต': 0}",17,การเรียนการสอนและหลักสูตร
แจ้งทำความสะอาดตรงโรงอาหาร กิ่งไม้หักขวางทาง ครับ,"['กิ่งไม้หัก', 'ทำความสะอาด', 'โรงอาหาร', 'อาหาร']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 21, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 13, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",21,สุขอนามัยและความสะอาด
รปภ. ช่วยดูตรงทางแยก หน่อยครับ ทางมืดมากอันตราย,"['อันตราย', 'รปภ.', 'ทางมืด', 'รปภ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 20, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",20,ความปลอดภัยและจราจร
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ หมวกกันน็อคหาย,"['รปภ.', 'รปภ', 'หมวกกันน็อคหาย']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 7, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 14}",14,บริการและสวัสดิการนิสิต
สอบถามหน่อยครับ สอบถามเรื่องทุนการศึกษา,"['ทุนการศึกษา', 'สอบถามหน่อยครับ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 26}",26,บริการและสวัสดิการนิสิต
รปภ. ช่วยดูตรงหลังมอ หน่อยครับ คนจอดรถขวางทาง,"['รปภ.', 'จอดรถขวาง', 'รปภ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 16, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",16,ความปลอดภัยและจราจร
แจ้งเรื่องไฟดับครับ ตรงห้องบรรยาย ช่วยมาดูหน่อย,['ไฟดับ'],"{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 5, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",5,สิ่งอำนวยความสะดวกและอาคารสถานที่
สอบถามหน่อยครับ รถเมล์สาย 1 หมดกี่โมง,"['รถเมล์', 'รถเมล์สาย', 'สอบถามหน่อยครับ']","{'การเดินทาง / รถเมล์มพ.': 15, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 15}",15,การเดินทาง / รถเมล์มพ.
อาจารย์ครับ เกรดยังไม่ออกครับ รบกวนให้คำแนะนำที,"['เกรด', 'อาจารย์']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 11, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",11,การเรียนการสอนและหลักสูตร
สอบถามหน่อยครับ ทำบัตรนิสิตใหม่ที่ไหน,"['บัตรนิสิต', 'สอบถามหน่อยครับ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 24}",24,บริการและสวัสดิการนิสิต
สอบถามหน่อยครับ อยากทราบกำหนดการกิจกรรมรับน้อง,"['กิจกรรม', 'สอบถามหน่อยครับ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 22}",22,บริการและสวัสดิการนิสิต
รปภ. ช่วยดูตรงประตู 2 หน่อยครับ มีรถชนกัน,"['รถชน', 'รปภ.', 'รปภ', 'ประตู 2']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 18, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",18,ความปลอดภัยและจราจร
แจ้งทำความสะอาดตรงโรงอาหาร มีหมาจรจัดมาคุ้ยขยะ ครับ,"['หมาจรจัด', 'ทำความสะอาด', 'โรงอาหาร', 'อาหาร']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 19, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 13, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",19,สุขอนามัยและความสะอาด
แจ้งเรื่องหลังคารั่วหนักมาก ตรงอาคารเรียนรวม ช่วยมาดูหน่อย,['หลังคารั่ว'],"{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 10, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",10,สิ่งอำนวยความสะดวกและอาคารสถานที่
แจ้งเรื่องประตูพัง ตรงอาคารเรียนรวม ช่วยมาดูหน่อย,"['พัง', 'ประตูพัง']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 11, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",11,สิ่งอำนวยความสะดวกและอาคารสถานที่
แจ้งเรื่องแอร์ไม่เย็นเลย ตรงห้องบรรยาย ช่วยมาดูหน่อย,"['แอร์ไม่เย็น', 'แอร์']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 15, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",15,สิ่งอำนวยความสะดวกและอาคารสถานที่
เน็ตหลุดบ่อยมาก ตอนนี้อยู่หอพักใน ทำงานไม่ได้เลย,"['เน็ตหลุด', 'หลุดบ่อย']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 16, 'บริการและสวัสดิการนิสิต': 0}",16,ระบบเครือข่ายและเทคโนโลยี
แจ้งเรื่องไฟดับครับ ตรงห้องน้ำตึกสงวน ช่วยมาดูหน่อย,['ไฟดับ'],"{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 5, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",5,สิ่งอำนวยความสะดวกและอาคารสถานที่
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,"['ตารางเรียน', 'อาจารย์', 'ระบบ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 17, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 4, 'บริการและสวัสดิการนิสิต': 0}",17,การเรียนการสอนและหลักสูตร
อาจารย์ครับ เกรดยังไม่ออกครับ รบกวนให้คำแนะนำที,"['เกรด', 'อาจารย์']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 11, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",11,การเรียนการสอนและหลักสูตร
ไวไฟเข้าไม่ได้ ตอนนี้อยู่ตึกคณะ ทำงานไม่ได้เลย,"['ไวไฟเข้าไม่ได้', 'ไวไฟ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 18, 'บริการและสวัสดิการนิสิต': 0}",18,ระบบเครือข่ายและเทคโนโลยี
สอบถามหน่อยครับ อยากทราบกำหนดการกิจกรรมรับน้อง,"['กิจกรรม', 'สอบถามหน่อยครับ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 22}",22,บริการและสวัสดิการนิสิต
รปภ. ช่วยดูตรงลานจอดรถ หน่อยครับ ทางมืดมากอันตราย,"['อันตราย', 'รปภ.', 'ทางมืด', 'รปภ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 20, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",20,ความปลอดภัยและจราจร
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ คนจอดรถขวางทาง,"['รปภ.', 'จอดรถขวาง', 'รปภ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 16, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",16,ความปลอดภัยและจราจร
แจ้งเรื่องหลังคารั่วหนักมาก ตรงห้องบรรยาย ช่วยมาดูหน่อย,['หลังคารั่ว'],"{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 10, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",10,สิ่งอำนวยความสะดวกและอาคารสถานที่
สอบถามหน่อยครับ รถเมล์สาย 1 หมดกี่โมง,"['รถเมล์', 'รถเมล์สาย', 'สอบถามหน่อยครับ']","{'การเดินทาง / รถเมล์มพ.': 15, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 15}",15,การเดินทาง / รถเมล์มพ.
รปภ. ช่วยดูตรงประตู 2 หน่อยครับ คนจอดรถขวางทาง,"['รปภ.', 'จอดรถขวาง', 'รปภ', 'ประตู 2']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 23, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",23,ความปลอดภัยและจราจร
สอบถามหน่อยครับ สอบถามเรื่องทุนการศึกษา,"['ทุนการศึกษา', 'สอบถามหน่อยครับ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 26}",26,บริการและสวัสดิการนิสิต
แจ้งทำความสะอาดตรงสวนหน้าตึก ขยะล้นถังส่งกลิ่นเหม็น ครับ,"['ขยะล้น', 'เหม็น', 'ทำความสะอาด', 'กลิ่นเหม็น']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 32, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",32,สุขอนามัยและความสะอาด
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ รถติดหนักมาก,"['รถติด', 'รปภ.', 'รปภ']","{'การเดินทาง / รถเมล์มพ.': 5, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 7, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",7,ความปลอดภัยและจราจร
