pair_id,sentence1,sentence2,is_duplicate,similarity_score,category
23,แอดมินครับ เศษขยะเกลื่อนกลาดรอบโต๊ะม้าหินอ่อน ตึกสงวนเสริมศรี,ช่วยประสานงานทีครับ บริเวณที่นั่งเล่น อาคารสงวน ขยะเต็มโต๊ะ ไม่มีคนกวาด รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,1,0.83,หมวดภูมิทัศน์และความสะอาด
24,รบกวนเจ้าหน้าที่ครับ สัญญาณ WiFi UP-WiFi ที่ ตึก ICT หลุดบ่อยมาก ช้ามาก รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ด่วนมาก! วิชาบังคับเซคเต็มทุกเซค ขอเปิดเพิ่มอีกเซคได้ไหมครับ เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.14,ต่างหมวดหมู่
25,แจ้งเรื่องครับ: เข้าใช้งานระบบ UP Pass ไม่ได้ ล็อกอินแล้วเด้งออก ช่วยตรวจสอบทีครับ,แจ้งเรื่องครับ: ตารางเรียนชนกันครับ เข้าระบบแล้วเลือกเวลาทับซ้อนกัน ช่วยตรวจสอบทีครับ,0,0.16,ต่างหมวดหมู่
26,ช่วยตรวจสอบหน่อยครับ ต้องการขอดรอปรายวิชา ติดต่อทำเรื่องที่ไหนครับ เป็นแบบนี้มาหลายวันแล้วครับ,ช่วยประสานงานทีครับ ยื่นคำร้องขอถอนรายวิชาล่าช้า ต้องให้อาจารย์ท่านไหนเซ็น,1,0.88,หมวดการเรียนการสอนและวิชาการ
27,รถเมล์ มพ. สาย 2 รอนานเกิน 45 นาทีแล้วไม่มา ปล่อยไว้นานแล้ว,นิสิตเดือดร้อนมากค่ะ รอรถเมล์มอสาย 2 นานมาก รถขาดช่วง นิสิตไปเรียนไม่ทัน ช่วยตรวจสอบทีครับ,1,0.9,หมวดการเดินทางและระบบขนส่ง
28,ช่วยประสานงานทีครับ ปลั๊กไฟห้อง 1305 ตึก ICT ช็อต มีควันขึ้น รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ด่วนมาก! อาคาร ICT ห้อง 1305 ปลั๊กไฟระเบิด เสียบชาร์จไม่ได้ ปล่อยไว้นานแล้ว,1,0.91,หมวดอาคารและสิ่งอำนวยความสะดวก
29,ขอร้องเรียนค่ะ มีซากสัตว์ตายส่งกลิ่นเหม็นเน่าที่ ตึกสงวนเสริมศรี ช่วยตรวจสอบทีครับ,ขอร้องเรียนค่ะ พบซากนกตายบริเวณ อาคารสงวน เริ่มส่งกลิ่น ช่วยส่งแม่บ้านมาเก็บที เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.93,หมวดภูมิทัศน์และความสะอาด
30,นิสิตเดือดร้อนมากค่ะ ขอใบรับรองสถานภาพนิสิตภาษาอังกฤษ ใช้เวลากี่วันได้ ช่วยตรวจสอบทีครับ,ยื่นขอหนังสือรับรองการเป็นนิสิตผ่านช่องทางออนไลน์ยังไง เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.94,หมวดบริการทั่วไป / อื่นๆ
31,ด่วนมาก! เข้าใช้งานระบบ UP Pass ไม่ได้ ล็อกอินแล้วเด้งออก,รบกวนเจ้าหน้าที่ครับ เข้าอีเมลมหาวิทยาลัยไม่ได้ จำรหัสผ่านไม่ได้ครับ,0,0.24,หมวดเทคโนโลยีสารสนเทศ (ต่างประเด็น)
32,ลืมกระเป๋าสตางค์ไว้ที่ ลานจอดรถหน้ามอ มีใครเก็บได้บ้างครับ เดือดร้อนมากค่ะ ขอบคุณค่ะ,ทำบัตรประจำตัวนิสิตใหม่ ติดต่อสำนักทะเบียนห้องไหนครับ ปล่อยไว้นานแล้ว,0,0.22,หมวดบริการทั่วไป / อื่นๆ (ต่างประเด็น)
33,แจ้งเรื่องครับ: สอบถามเรื่องการยื่นกู้ กยศ. และส่งเอกสารทุนการศึกษา ขอบคุณครับ,ด่วนมาก! เอกสารทุนการศึกษา มพ. ส่งได้ถึงวันไหนครับ เป็นแบบนี้มาหลายวันแล้วครับ,1,0.92,หมวดบริการทั่วไป / อื่นๆ
34,ด่วนมาก! ตารางเรียนวิชาบังคับชนกันสองวิชา แก้ไขยังไงได้บ้าง เป็นแบบนี้มาหลายวันแล้วครับ,รถมอเตอร์ไซค์ชนกันบริเวณ หอพักนิสิต UP DORM มีผู้ได้รับบาดเจ็บ เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.03,ต่างหมวดหมู่
35,ช่วยตรวจสอบหน่อยครับ ตารางสอบปลายภาคชนกันในวันเดียวกันสองวิชา เป็นแบบนี้มาหลายวันแล้วครับ,ขอร้องเรียนค่ะ ยื่นคำร้องขอถอนรายวิชาล่าช้า ต้องให้อาจารย์ท่านไหนเซ็น ปล่อยไว้นานแล้ว,0,0.32,หมวดการเรียนการสอนและวิชาการ (ต่างประเด็น)
36,แจ้งเรื่องครับ: ห้องน้ำหญิง หอสมุด สกปรกมาก ไม่มีแม่บ้านดูแล รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,รบกวนเจ้าหน้าที่ครับ ขยะล้นถังขยะตรง หอสมุด เหม็นมาก ไม่มีใครมาเก็บ ช่วยตรวจสอบทีครับ,0,0.3,หมวดภูมิทัศน์และความสะอาด (ต่างประเด็น)
37,นิสิตเดือดร้อนมากค่ะ ระบบบันทึกเกรดมีปัญหา เกรดยังไม่ออกสักวิชา ช่วยตรวจสอบทีครับ,ช่วยตรวจสอบหน่อยครับ ทำบัตรประจำตัวนิสิตใหม่ ติดต่อสำนักทะเบียนห้องไหนครับ เป็นแบบนี้มาหลายวันแล้วครับ,0,0.09,ต่างหมวดหมู่
38,แอดมินครับ อาจารย์ไม่เข้าสอนตามตารางเรียนและไม่แจ้งล่วงหน้า ช่วยตรวจสอบทีครับ,แอดมินครับ ยื่นคำร้องขอถอนรายวิชาล่าช้า ต้องให้อาจารย์ท่านไหนเซ็น ปล่อยไว้นานแล้ว,0,0.22,หมวดการเรียนการสอนและวิชาการ (ต่างประเด็น)
39,ด่วนมาก! ตารางเรียนวิชาบังคับชนกันสองวิชา แก้ไขยังไงได้บ้าง,ด่วนมาก! ยื่นคำร้องขอถอนรายวิชาล่าช้า ต้องให้อาจารย์ท่านไหนเซ็น ช่วยตรวจสอบทีครับ,0,0.2,หมวดการเรียนการสอนและวิชาการ (ต่างประเด็น)
40,รบกวนเจ้าหน้าที่ครับ หญ้าขึ้นสูงรกมากข้างทางเดินไป หอพักนิสิต UP DORM กลัวงู เดือดร้อนมากค่ะ ขอบคุณค่ะ,ช่วยตรวจสอบหน่อยครับ พบซากนกตายบริเวณ หอสมุด เริ่มส่งกลิ่น ช่วยส่งแม่บ้านมาเก็บที ช่วยตรวจสอบทีครับ,0,0.23,หมวดภูมิทัศน์และความสะอาด (ต่างประเด็น)
41,ช่วยตรวจสอบหน่อยครับ ตารางเรียนวิชาบังคับชนกันสองวิชา แก้ไขยังไงได้บ้าง เป็นแบบนี้มาหลายวันแล้วครับ,รบกวนเจ้าหน้าที่ครับ หมาจรจัดตรง ตึก CE ดุมาก เห่าและวิ่งไล่รถมอเตอร์ไซค์ เป็นแบบนี้มาหลายวันแล้วครับ,0,0.06,ต่างหมวดหมู่
42,ขอร้องเรียนค่ะ ตารางเรียนวิชาบังคับชนกันสองวิชา แก้ไขยังไงได้บ้าง รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ขอร้องเรียนค่ะ ห้อง 3202 หอพักนิสิต UP DORM แอร์พัง มีแต่ลมร้อน นั่งเรียนไม่ได้,0,0.2,ต่างหมวดหมู่
43,ขอนับชั่วโมงกิจกรรมจิตอาสา กดยื่นในระบบแล้วยังไม่อนุมัติ เดือดร้อนมากค่ะ ขอบคุณค่ะ,ขอร้องเรียนค่ะ เอกสารทุนการศึกษา มพ. ส่งได้ถึงวันไหนครับ ขอบคุณครับ,0,0.25,หมวดบริการทั่วไป / อื่นๆ (ต่างประเด็น)
44,ขอร้องเรียนค่ะ ต้องการขอดรอปรายวิชา ติดต่อทำเรื่องที่ไหนครับ,แอดมินครับ ยื่นคำร้องขอถอนรายวิชาล่าช้า ต้องให้อาจารย์ท่านไหนเซ็น เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.87,หมวดการเรียนการสอนและวิชาการ
45,แอดมินครับ ตารางเรียนวิชาบังคับชนกันสองวิชา แก้ไขยังไงได้บ้าง เป็นแบบนี้มาหลายวันแล้วครับ,ช่วยตรวจสอบหน่อยครับ เน็ตตึก ตึก ICT ดับทั้งตึก เชื่อมต่อสัญญาณไม่ได้,0,0.16,ต่างหมวดหมู่
46,ช่วยประสานงานทีครับ หญ้าขึ้นสูงรกมากข้างทางเดินไป ตึกคณะนิติศาสตร์ กลัวงู,เข้าอีเมลมหาวิทยาลัยไม่ได้ จำรหัสผ่านไม่ได้ครับ เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.06,ต่างหมวดหมู่
47,ช่วยประสานงานทีครับ มีซากสัตว์ตายส่งกลิ่นเหม็นเน่าที่ หอสมุด เดือดร้อนมากค่ะ ขอบคุณค่ะ,ช่วยประสานงานทีครับ ทำบัตรประจำตัวนิสิตใหม่ ติดต่อสำนักทะเบียนห้องไหนครับ เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.15,ต่างหมวดหมู่
48,ด่วนมาก! หลอดไฟในห้องเรียน CE07 ตึกคณะบริหาร ขาด มืดมาก,เข้าอีเมลมหาวิทยาลัยไม่ได้ จำรหัสผ่านไม่ได้ครับ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.12,ต่างหมวดหมู่
49,ช่วยตรวจสอบหน่อยครับ หลังคารั่วตรงทางเดิน ตึก ICT น้ำเจิ่งนอง ขอบคุณครับ,รบกวนเจ้าหน้าที่ครับ เข้าอีเมลมหาวิทยาลัยไม่ได้ จำรหัสผ่านไม่ได้ครับ ช่วยตรวจสอบทีครับ,0,0.13,ต่างหมวดหมู่
50,แอดมินครับ ก๊อกน้ำอ่างล้างมือ ตึกวิทย์ หัก น้ำพุ่งกระเด็น,ขอร้องเรียนค่ะ ตึกคณะนิติศาสตร์ ห้อง 3101 ปลั๊กไฟระเบิด เสียบชาร์จไม่ได้ เป็นแบบนี้มาหลายวันแล้วครับ,0,0.2,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
51,ช่วยตรวจสอบหน่อยครับ ห้องน้ำชั้น 2 ตึกสงวนเสริมศรี น้ำไม่ไหล ชักโครกกดไม่ลง ช่วยตรวจสอบทีครับ,ช่วยตรวจสอบหน่อยครับ โรงอาหารสงวน ชั้น 2 ห้องน้ำน้ำหยุดไหล สกปรกมาก ช่วยตรวจสอบทีครับ,1,0.93,หมวดอาคารและสิ่งอำนวยความสะดวก
52,ช่วยตรวจสอบหน่อยครับ ระบบบันทึกเกรดมีปัญหา เกรดยังไม่ออกสักวิชา เดือดร้อนมากค่ะ ขอบคุณค่ะ,ด่วนมาก! ประกาศเกรดยังไม่ขึ้นในระบบเลยครับ ติดต่อฝ่ายทะเบียนไม่ได้ เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.79,หมวดการเรียนการสอนและวิชาการ
53,นิสิตเดือดร้อนมากค่ะ ระบบบันทึกเกรดมีปัญหา เกรดยังไม่ออกสักวิชา,ช่วยตรวจสอบหน่อยครับ ยื่นคำร้องขอถอนรายวิชาล่าช้า ต้องให้อาจารย์ท่านไหนเซ็น เป็นแบบนี้มาหลายวันแล้วครับ,0,0.34,หมวดการเรียนการสอนและวิชาการ (ต่างประเด็น)
54,กล้องวงจรปิดบริเวณ ตึกคณะบริหาร ดับ เสียมาหลายวัน ปล่อยไว้นานแล้ว,ขอร้องเรียนค่ะ รถมอเตอร์ไซค์ชนกันบริเวณ หอสมุด มีผู้ได้รับบาดเจ็บ ช่วยตรวจสอบทีครับ,0,0.23,หมวดความปลอดภัยและจราจร (ต่างประเด็น)
55,แอดมินครับ หมวกกันน็อคหายที่ลานจอดรถ ตึกสงวนเสริมศรี รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,แจ้งเรื่องครับ: กล้อง CCTV ตรง ตึกสงวนเสริมศรี ใช้งานไม่ได้ อยากขอเปิดดูของหาย รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.22,หมวดความปลอดภัยและจราจร (ต่างประเด็น)
56,แอดมินครับ ตารางเรียนวิชาบังคับชนกันสองวิชา แก้ไขยังไงได้บ้าง ปล่อยไว้นานแล้ว,ช่วยตรวจสอบหน่อยครับ ยื่นคำร้องขอถอนรายวิชาล่าช้า ต้องให้อาจารย์ท่านไหนเซ็น ขอบคุณครับ,0,0.22,หมวดการเรียนการสอนและวิชาการ (ต่างประเด็น)
57,ด่วนมาก! ลิฟต์ ตึก PKY ประตูค้าง เปิดไม่ออก,ช่วยตรวจสอบหน่อยครับ ลิฟต์โดยสารที่ อาคารภักดี ชำรุด กดแล้วไม่ขยับ ประตูเปิดไม่ได้ เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.94,หมวดอาคารและสิ่งอำนวยความสะดวก
58,ด่วนมาก! ป้ายรถเมล์บริเวณ ตึก ICT ไม่มีหลังคาบังแดดบังฝน,ด่วนมาก! เน็ต UP-WiFi ที่ หอสมุด ช้ามาก สัญญาณหลุดตลอดเวลา เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.19,ต่างหมวดหมู่
59,นิสิตเดือดร้อนมากค่ะ ประตูห้องน้ำชาย ตึกคณะนิติศาสตร์ ลูกบิดพัง ล็อคไม่ได้ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ช่วยตรวจสอบหน่อยครับ หอพักนิสิต UP DORM ห้อง 1101 ปลั๊กไฟระเบิด เสียบชาร์จไม่ได้ ช่วยตรวจสอบทีครับ,0,0.4,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
60,แจ้งเรื่องครับ: รถเมล์ มพ. สาย มอ รอนานเกิน 45 นาทีแล้วไม่มา ปล่อยไว้นานแล้ว,มีต้นไม้ล้มทับทางเดินข้าง ตึก PKY สัญจรลำบากมาก ขอบคุณครับ,0,0.12,ต่างหมวดหมู่
61,ด่วนมาก! ป้ายรถเมล์บริเวณ ตึก ICT ไม่มีหลังคาบังแดดบังฝน ช่วยตรวจสอบทีครับ,บริเวณที่นั่งเล่น ลานจอดรถหน้ามอ ขยะเต็มโต๊ะ ไม่มีคนกวาด ช่วยตรวจสอบทีครับ,0,0.13,ต่างหมวดหมู่
62,แจ้งเรื่องครับ: มีรถจอดซ้อนคันขวางทางออกตรง ตึก CE ปล่อยไว้นานแล้ว,รบกวนเจ้าหน้าที่ครับ รถยนต์จอดขวางทางเลี้ยวบริเวณ อาคารเรียนรวม CE ขับผ่านไม่ได้เลย,1,0.98,หมวดความปลอดภัยและจราจร
63,นิสิตเดือดร้อนมากค่ะ ระบบบันทึกเกรดมีปัญหา เกรดยังไม่ออกสักวิชา ปล่อยไว้นานแล้ว,ช่วยตรวจสอบหน่อยครับ ประกาศเกรดยังไม่ขึ้นในระบบเลยครับ ติดต่อฝ่ายทะเบียนไม่ได้ ปล่อยไว้นานแล้ว,1,0.91,หมวดการเรียนการสอนและวิชาการ
64,ช่วยประสานงานทีครับ รถเมล์ มพ. ไม่จอดรับนิสิตที่ป้าย ตึก CE ช่วยตรวจสอบทีครับ,ช่วยประสานงานทีครับ นิสิตต่อคิวรอรถเมล์ตรง ตึกคณะนิติศาสตร์ ยาวล้นออกมานอกฟุตบาท ช่วยตรวจสอบทีครับ,0,0.32,หมวดการเดินทางและระบบขนส่ง (ต่างประเด็น)
65,ช่วยประสานงานทีครับ อาจารย์ไม่เข้าสอนตามตารางเรียนและไม่แจ้งล่วงหน้า ขอบคุณครับ,แจ้งเรื่องครับ: วิชาบังคับเซคเต็มทุกเซค ขอเปิดเพิ่มอีกเซคได้ไหมครับ เป็นแบบนี้มาหลายวันแล้วครับ,0,0.3,หมวดการเรียนการสอนและวิชาการ (ต่างประเด็น)
66,ช่วยตรวจสอบหน่อยครับ ระบบลงทะเบียนเรียน Reg ล่ม เข้าสู่ระบบไม่ได้ตั้งแต่เช้า ขอบคุณครับ,ช่วยประสานงานทีครับ เว็บ reg.up.ac.th ล่ม กดเลือกวิชาไม่ได้เลยครับ เป็นแบบนี้มาหลายวันแล้วครับ,1,0.98,หมวดเทคโนโลยีสารสนเทศ
67,แจ้งเรื่องครับ: มีซากสัตว์ตายส่งกลิ่นเหม็นเน่าที่ ตึกคณะนิติศาสตร์ เดือดร้อนมากค่ะ ขอบคุณค่ะ,ขอร้องเรียนค่ะ ชั่วโมงกิจกรรมสะสมไม่ขึ้นในระบบ UP Pass ติดต่อใคร,0,0.16,ต่างหมวดหมู่
68,ด่วนมาก! ไฟกิ่งส่องสว่างทางเดินไป ตึก PKY ดับ มืดและเปลี่ยวมาก ขอบคุณครับ,ช่วยตรวจสอบหน่อยครับ เสาไฟทางเดินตรง อาคารภักดี ไม่ติด มืดมากกลัวอันตราย ปล่อยไว้นานแล้ว,1,0.88,หมวดความปลอดภัยและจราจร
69,แอดมินครับ ลืมรหัสผ่าน UP Mail ขอยื่นรีเซ็ตรหัสผ่านเมลองค์กร ช่วยตรวจสอบทีครับ,เข้าอีเมลมหาวิทยาลัยไม่ได้ จำรหัสผ่านไม่ได้ครับ ปล่อยไว้นานแล้ว,1,0.92,หมวดเทคโนโลยีสารสนเทศ
70,ช่วยตรวจสอบหน่อยครับ ระบบบันทึกเกรดมีปัญหา เกรดยังไม่ออกสักวิชา,ประกาศเกรดยังไม่ขึ้นในระบบเลยครับ ติดต่อฝ่ายทะเบียนไม่ได้ เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.87,หมวดการเรียนการสอนและวิชาการ
71,ด่วนมาก! ตารางเรียนวิชาบังคับชนกันสองวิชา แก้ไขยังไงได้บ้าง เป็นแบบนี้มาหลายวันแล้วครับ,รบกวนเจ้าหน้าที่ครับ ตารางเรียนชนกันครับ เข้าระบบแล้วเลือกเวลาทับซ้อนกัน ปล่อยไว้นานแล้ว,1,0.91,หมวดการเรียนการสอนและวิชาการ
72,รบกวนเจ้าหน้าที่ครับ ลิฟต์ ตึกคณะนิติศาสตร์ ประตูค้าง เปิดไม่ออก เดือดร้อนมากค่ะ ขอบคุณค่ะ,แจ้งเรื่องครับ: ตึก PKY ชั้น 3 ห้องน้ำน้ำหยุดไหล สกปรกมาก ปล่อยไว้นานแล้ว,0,0.34,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
73,แอดมินครับ ต้องการขอดรอปรายวิชา ติดต่อทำเรื่องที่ไหนครับ เป็นแบบนี้มาหลายวันแล้วครับ,ด่วนมาก! ยื่นคำร้องขอถอนรายวิชาล่าช้า ต้องให้อาจารย์ท่านไหนเซ็น ขอบคุณครับ,1,0.86,หมวดการเรียนการสอนและวิชาการ
