text,category_names,cat_1_building,cat_2_network_it,cat_3_academic,cat_4_landscape,cat_5_safety_traffic,cat_6_general_service,cat_7_transportation,cat_8_food_hygiene
การทำเรื่องขอผ่อนผันและดรอปรายวิชา (Withdraw) อาจารย์ประจำวิชาไม่อนุมัติในระบบ ต้องการสอบถามขั้นตอนที่ถูกต้อง,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
ลิฟต์โดยสาร คณะนิติศาสตร์ ค้างที่ชั้น {floor} ประตูปิดไม่สนิท มีเสียงดังน่ากลัว,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
กลอนประตูล็อคห้องน้ำ โรงอาหารตึกสงวนเสริมศรี พังหัก ล็อคประตูไม่อยู่ ปิดไม่ได้,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
ร้านอาหารที่ คณะนิติศาสตร์ ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
รถเมล์มอวิ่งไม่ตรงรอบตารางเวลา ช่วงเวลาเร่งด่วนเช้าไม่มีรถวิ่ง นิสิตไปเรียนไม่ทัน,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
มีคนร้ายขโมยหมวกกันน็อคและของใต้เบาะรถ โรงอาหารตึกสงวนเสริมศรี โดนขโมยไปหลายคัน อยากให้ตรวจสอบกล้องวงจรปิด,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
กิ่งไม้ขนาดใหญ่หักโค่น ประตู 1 ม.พะเยา พาดขวางถนนและทางเท้าหลังพายุฝนตก รถสัญจรลำบาก,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
รถเมล์ มพ. สาย 3 (สีแดง) รอนานมาก รอเกิน 45 นาที รถไม่พอ คนยืนเบียดกันจนล้นป้าย {loc},การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
เว็บไซต์ระบบลงทะเบียน Reg UP เกิดขัดข้อง เข้าไม่ได้ ทำให้นิสิตไม่สามารถลงทะเบียนวิชาเรียนและตรวจสอบตารางสอบได้ตามกำหนด,"ระบบเครือข่ายและเทคโนโลยี, การเรียนการสอนและวิชาการ",0,1,1,0,0,0,0,0
รถบัส มพ. ไม่ยอมจอดรับผู้โดยสารที่ป้าย โรงอาหารตึกสงวนเสริมศรี รถว่างแต่ขับผ่านเลยไป ไม่จอดรับคนที่รอ,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
โรงอาหารบริเวณ คณะเภสัชศาสตร์ มีถังขยะเศษอาหารเน่าล้น ส่งกลิ่นเหม็นคลุ้งและพบแมลงสาบไต่บนโต๊ะทานข้าว ไม่ถูกสุขอนามัย,"ภูมิทัศน์และความสะอาด, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,1,0,0,0,1
การประกาศคะแนนสอบกลางภาควิชา LAW101 คะแนนในระบบไม่ตรงกับที่อาจารย์แจ้ง ขอตรวจสอบความถูกต้อง,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
พัดลมเพดานและปลั๊กไฟห้อง 2304 ตึก ICT ปลั๊กไฟช็อตมีกลิ่นไหม้ พัดลมหมุนช้ามาก,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ ประตู 1 ม.พะเยา พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
ระบบเช็คชื่อสแกนใบหน้า / สแกนบัตรนิสิต สนามกีฬาในร่ม ระบบค้าง ไม่บันทึกการเข้าเรียน,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
สายชำระและก๊อกน้ำ ประตู 2 หน้ามอ แตกชำรุด น้ำรั่วพุ่งนองเต็มพื้นห้องน้ำ,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
การขอใช้พื้นที่จัดกิจกรรมชมรมและโครงการนิสิต คณะพยาบาลศาสตร์ ยื่นหนังสือขออนุมัติสถานที่ล่วงหน้า ต้องติดต่อหน่วยงานใด,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
กลอนประตูล็อคห้องน้ำ ป้ายหอใน พังหัก ล็อคประตูไม่อยู่ ปิดไม่ได้,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
คราบโคลนและเศษดินหลังฝนตกหนัก ตึก EN คณะวิศวกรรมศาสตร์ ลื่นมาก ถนนเฉอะแฉะ เสี่ยงเกิดอุบัติเหตุลื่นล้ม,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ ตึก EN คณะวิศวกรรมศาสตร์ พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
เว็บไซต์ระบบลงทะเบียน Reg UP เกิดขัดข้อง เข้าไม่ได้ ทำให้นิสิตไม่สามารถลงทะเบียนวิชาเรียนและตรวจสอบตารางสอบได้ตามกำหนด,"ระบบเครือข่ายและเทคโนโลยี, การเรียนการสอนและวิชาการ",0,1,1,0,0,0,0,0
ป้ายรอรถเมล์ อาคาร PKY สงวนเสริมศรี หลังคารั่ว ฝนตกแล้วน้ำรั่วลงมา เปียกทั้งที่นั่ง รอรถลำบากมาก,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
ร้านอาหารที่ ประตู 1 ม.พะเยา ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
รถสองแถวมอ ขับเบียดรถมอเตอร์ไซค์ของนิสิตล้มตรงทางโค้ง โรงอาหารตึกสงวนเสริมศรี ทำให้การจราจรติดขัดยาวและนิสิตได้รับบาดเจ็บ,"ความปลอดภัยและจราจร, การเดินทางและระบบขนส่ง",0,0,0,0,1,0,1,0
ห้องปฏิบัติการคอมพิวเตอร์ห้อง 3302 หอใน มพ. ระบบไฟฟ้าขัดข้อง แอร์ดับ และสัญญาณอินเทอร์เน็ต WiFi ใช้งานไม่ได้พร้อมกัน,"อาคารและสิ่งอำนวยความสะดวก, ระบบเครือข่ายและเทคโนโลยี",1,1,0,0,0,0,0,0
เว็บไซต์ระบบลงทะเบียน Reg UP เกิดขัดข้อง เข้าไม่ได้ ทำให้นิสิตไม่สามารถลงทะเบียนวิชาเรียนและตรวจสอบตารางสอบได้ตามกำหนด,"ระบบเครือข่ายและเทคโนโลยี, การเรียนการสอนและวิชาการ",0,1,1,0,0,0,0,0
ห้องปฏิบัติการคอมพิวเตอร์ห้อง 3201 คณะเภสัชศาสตร์ ระบบไฟฟ้าขัดข้อง แอร์ดับ และสัญญาณอินเทอร์เน็ต WiFi ใช้งานไม่ได้พร้อมกัน,"อาคารและสิ่งอำนวยความสะดวก, ระบบเครือข่ายและเทคโนโลยี",1,1,0,0,0,0,0,0
การยื่นคำร้องขอเทียบโอนหน่วยกิตรายวิชา เอกสารตกค้างที่คณะ ขอให้เจ้าหน้าที่ช่วยติดตามผล,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
รถบัส มพ. ไม่ยอมจอดรับผู้โดยสารที่ป้าย สนามกีฬาในร่ม รถว่างแต่ขับผ่านเลยไป ไม่จอดรับคนที่รอ,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
การขอใช้พื้นที่จัดกิจกรรมชมรมและโครงการนิสิต คณะเกษตรศาสตร์ ยื่นหนังสือขออนุมัติสถานที่ล่วงหน้า ต้องติดต่อหน่วยงานใด,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
การติดต่อขอเอกสารใบรับรองผลการเรียน (Transcript) ระบบยังไม่อัปเดตเกรดเทอมล่าสุด ต้องการใช้ยื่นสมัครงาน,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
หญ้ารกสูงมากบริเวณ คณะบริหารธุรกิจและนิเทศศาสตร์ มีสัตว์มีพิษและงูเลื้อยออกมา อันตรายต่อนิสิตที่เดินผ่าน,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
สุขอนามัยร้านน้ำและตู้กดน้ำดื่ม ประตู 1 ม.พะเยา มีตะไคร่น้ำและคราบสกปรกเกาะ ไม่มีการล้างทำความสะอาด,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
รถชัตเติลบัส มพ. ขับเร็วเฉี่ยวชนสุนัขจรจัดเสียชีวิตบริเวณ กองพัฒนานิสิต DSA เศษซากสัตว์และคราบเลือดขวางถนน อันตรายและส่งกลิ่นเหม็นมาก,"ภูมิทัศน์และความสะอาด, ความปลอดภัยและจราจร, การเดินทางและระบบขนส่ง",0,0,0,1,1,0,1,0
รถสองแถวมอ ขับเร็วเฉี่ยวชนสุนัขจรจัดเสียชีวิตบริเวณ หอใน มพ. เศษซากสัตว์และคราบเลือดขวางถนน อันตรายและส่งกลิ่นเหม็นมาก,"ภูมิทัศน์และความสะอาด, ความปลอดภัยและจราจร, การเดินทางและระบบขนส่ง",0,0,0,1,1,0,1,0
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ คณะวิทยาศาสตร์ พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
กิ่งไม้ขนาดใหญ่หักโค่น อาคารเรียนรวม CE พาดขวางถนนและทางเท้าหลังพายุฝนตก รถสัญจรลำบาก,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
การประกาศคะแนนสอบกลางภาควิชา MED201 คะแนนในระบบไม่ตรงกับที่อาจารย์แจ้ง ขอตรวจสอบความถูกต้อง,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
การทำบัตรนิสิตใหม่เนื่องจากบัตรเดิมสูญหาย ติดต่อขอออกบัตรใหม่ ต้องเตรียมหลักฐานอะไรบ้างและรับบัตรได้ที่ไหน,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ อาคารเรียนรวม CE พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
รถเมล์สาย 1 ขับเบียดรถมอเตอร์ไซค์ของนิสิตล้มตรงทางโค้ง ตึก EN คณะวิศวกรรมศาสตร์ ทำให้การจราจรติดขัดยาวและนิสิตได้รับบาดเจ็บ,"ความปลอดภัยและจราจร, การเดินทางและระบบขนส่ง",0,0,0,0,1,0,1,0
ร้านอาหารที่ คณะพยาบาลศาสตร์ ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
การทำบัตรนิสิตใหม่เนื่องจากบัตรเดิมสูญหาย ติดต่อขอออกบัตรใหม่ ต้องเตรียมหลักฐานอะไรบ้างและรับบัตรได้ที่ไหน,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
รถเมล์สาย 1 ขับเร็วเฉี่ยวชนสุนัขจรจัดเสียชีวิตบริเวณ อ่างหลวง ม.พะเยา เศษซากสัตว์และคราบเลือดขวางถนน อันตรายและส่งกลิ่นเหม็นมาก,"ภูมิทัศน์และความสะอาด, ความปลอดภัยและจราจร, การเดินทางและระบบขนส่ง",0,0,0,1,1,0,1,0
สวัสดิการประกันอุบัติเหตุสำหรับนิสิต ประสบอุบัติเหตุเข้ารับการรักษาที่โรงพยาบาล ต้องการทำเรื่องเบิกเคลมประกัน,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
มีบุคคลภายนอกน่าสงสัยเดินวนเวียน ประตู 3 ฝั่งเกษตร ท่าทางไม่น่าไว้วางใจ อยากให้ รปภ. ช่วยตรวจสอบ,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
รถบัส มพ. ไม่ยอมจอดรับผู้โดยสารที่ป้าย คณะเกษตรศาสตร์ รถว่างแต่ขับผ่านเลยไป ไม่จอดรับคนที่รอ,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
สวัสดิการประกันอุบัติเหตุสำหรับนิสิต ประสบอุบัติเหตุเข้ารับการรักษาที่โรงพยาบาล ต้องการทำเรื่องเบิกเคลมประกัน,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
ร้านอาหารที่ หอพักลุมพินี ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
ท่อน้ำทิ้งและหลังคาบริเวณ ลานจอดรถตึก PKY แตกชำรุด น้ำสกปรกเอ่อล้นพัดพาขยะเกลื่อนพื้น ส่งกลิ่นเหม็นทั่วทางเดิน,"อาคารและสิ่งอำนวยความสะดวก, ภูมิทัศน์และความสะอาด",1,0,0,1,0,0,0,0
ระบบเว็บลงทะเบียนเรียน REG UP เข้าใช้งานไม่ได้ ขึ้น 504 Gateway Timeout ช่วงเปิดจองวิชาศึกษาทั่วไป,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
การขอผ่อนผันการเกณฑ์ทหารสำหรับนิสิตชาย ต้องการตรวจสอบรายชื่อและขั้นตอนการยื่นเอกสาร,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
เว็บไซต์ระบบลงทะเบียน Reg UP เกิดขัดข้อง เข้าไม่ได้ ทำให้นิสิตไม่สามารถลงทะเบียนวิชาเรียนและตรวจสอบตารางสอบได้ตามกำหนด,"ระบบเครือข่ายและเทคโนโลยี, การเรียนการสอนและวิชาการ",0,1,1,0,0,0,0,0
สัญญาณอินเทอร์เน็ต UP-WiFi คณะเกษตรศาสตร์ หลุดบ่อยมาก เชื่อมต่อไม่ได้เลยตั้งแต่ช่วงบ่าย,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
ร้านอาหารที่ คณะพยาบาลศาสตร์ อาหารไม่สะอาด พบแมลงสาบตัวเล็กและเส้นผมปนเปื้อนในจานข้าว,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
การยื่นเรื่องขอทุนการศึกษาสำหรับนิสิตขาดแคลนทุนทรัพย์ ต้องการทราบกำหนดการและเอกสารที่ต้องใช้ส่งกองพัฒนานิสิต,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
สุขอนามัยร้านน้ำและตู้กดน้ำดื่ม กองพัฒนานิสิต DSA มีตะไคร่น้ำและคราบสกปรกเกาะ ไม่มีการล้างทำความสะอาด,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ หอพักลุมพินี พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
ระบบเครือข่ายอินเทอร์เน็ต LAN อาคารเรียนรวม CE สายแลนชำรุด สัญญาณไม่เข้าคอมพิวเตอร์,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
